protocol,grouped_by,value,min,lower_quartile,median,upper_quartile,max
secure_scan,s,10,0.9450000000000001,0.9922500000000001,1.0074999999999998,1.0410000000000001,1.0970000000000002
secure_scan,s,100,0.8500000000000001,0.88,0.945,0.995,1.3
secure_scan,s,1000,0.30000000000000004,0.6000000000000001,0.9500000000000002,1.275,1.6
secure_scan,s,10000,0.0,0.0,0.5,1.0,3.0000000000000004
secure_scan,a,10,0.0,0.7349999999999999,0.9675,1.0517500000000002,1.5
secure_scan,a,100,0.0,0.5750000000000001,0.9675,1.014,3.0000000000000004
secure_scan,a,1000,0.0,0.9450000000000001,1.0035,1.1227500000000001,2.0
secure_scan,a,10000,0.0,0.8524999999999998,0.99,1.01125,1.6
secure_scan,p,0.0001,0.0,0.8375000000000001,0.9625,1.02025,3.0000000000000004
secure_scan,p,0.001,0.0,0.6000000000000001,0.9964999999999999,1.0417500000000002,2.0
secure_scan,p,0.01,0.0,0.7125000000000001,0.9225000000000001,1.08275,1.6
secure_scan,p,0.1,0.0,0.9525000000000001,1.0,1.1042500000000002,2.0
standard,s,10,1.006,1.65325,6.226000000000001,8.237,10.0
standard,s,100,0.9199999999999999,2.38,9.605,59.27,95.1
standard,s,1000,0.8,3.0249999999999995,9.95,96.45000000000002,608.6999999999999
standard,s,10000,0.0,7.0,11.499999999999998,115.99999999999999,814.9999999999999
standard,a,10,2.5380000000000003,6.88175,9.41,10.7075,11.999999999999998
standard,a,100,1.8840000000000001,7.77175,54.515,76.35000000000002,115.99999999999999
standard,a,1000,1.181,1.975,7.662000000000001,165.3,814.9999999999999
standard,a,10000,0.0,0.9875,1.374,12.5,738.0
standard,p,0.0001,6.953,10.299999999999999,62.040000000000006,218.64999999999998,814.9999999999999
standard,p,0.001,1.543,6.792750000000001,10.5,71.32500000000002,490.0
standard,p,0.01,0.0,1.56875,6.564,10.1675,70.00000000000001
standard,p,0.1,0.8,1.13725,1.95,3.3285,11.999999999999998
